date,store,item,sales,promo_flag,weather,staff_count,notes
2023-01-14,5.0,8.0,58.06,1.0,sunny,12,# *
2023-01-15,5.0,4.0,,0.0,nan,17,
2023-03-19,4.0,1.0,72.21,0.0,nan,18,# *
2023-02-19,4.0,9.0,123.76,1.0,nan,16,
2023-03-27,4.0,10.0,113.61,0.0,cloudy,17,
2023-02-19,4.0,10.0,104.68,1.0,rainy,14,
2023-02-25,2.0,7.0,84.87,,cloudy,18,
2023-03-06,2.0,10.0,91.03,,cloudy,9,
2023-03-29,1.0,1.0,118.9,,rainy,13,
2023-02-20,1.0,2.0,80.43,,# *,17,# *
2023-01-26,4.0,5.0,29.08,,# *,17,
2023-02-22,4.0,3.0,113.3,,nan,5,Check
2023-01-10,1.0,7.0,40.51,0.0,# *,8,# *
2023-03-20,2.0,,102.35,,nan,19,# *
2023-03-23,2.0,9.0,137.0,1.0,nan,14,
2023-01-08,3.0,5.0,73.2,1.0,cloudy,16,
2023-03-16,4.0,6.0,101.94,,nan,18,# *
2023-01-22,5.0,10.0,78.85,1.0,rainy,11,# *
2023-02-11,4.0,1.0,,,sunny,13,
2023-02-11,1.0,5.0,125.28,,cloudy,7,# *
2023-03-23,3.0,8.0,84.43,,cloudy,13,# *
2023-03-21,2.0,10.0,,,cloudy,9,# *
2023-01-08,2.0,9.0,98.18,0.0,sunny,7,
2023-03-04,1.0,2.0,116.25,,nan,17,
2023-02-03,4.0,5.0,41.11,,# *,5,
2023-03-07,4.0,6.0,104.25,,nan,19,Check
2023-01-11,5.0,7.0,51.12,1.0,rainy,12,
2023-01-17,4.0,7.0,53.67,,rainy,11,Check
2023-02-04,2.0,10.0,86.2,1.0,rainy,12,Check
2023-03-19,5.0,6.0,158.42,,# *,11,
2023-03-11,2.0,1.0,106.63,0.0,rainy,17,Check
2023-02-07,1.0,7.0,,1.0,# *,11,
2023-01-27,2.0,10.0,66.4,,cloudy,19,
2023-01-31,5.0,7.0,49.99,,# *,7,
2023-03-27,5.0,6.0,131.28,,rainy,12,
2023-01-07,3.0,4.0,41.0,0.0,nan,7,
2023-02-14,1.0,7.0,47.63,0.0,# *,18,
2023-03-12,4.0,8.0,78.14,,cloudy,19,# *
2023-01-13,1.0,8.0,80.98,,rainy,18,
2023-01-16,5.0,9.0,73.24,,nan,17,
2023-02-11,1.0,8.0,103.47,,rainy,16,
2023-03-14,,3.0,115.83,0.0,rainy,10,
2023-01-24,4.0,6.0,82.38,1.0,# *,16,
2023-03-08,4.0,4.0,68.16,1.0,cloudy,8,
2023-03-20,4.0,6.0,121.61,,nan,9,Check
2023-01-25,3.0,5.0,79.72,1.0,rainy,13,
2023-01-20,1.0,3.0,88.56,1.0,sunny,7,
2023-03-13,4.0,5.0,54.9,1.0,cloudy,13,Check
2023-02-14,5.0,2.0,,,nan,8,
2023-01-26,3.0,8.0,64.09,,cloudy,17,
2023-03-14,5.0,1.0,82.47,,nan,9,# *
2023-03-02,2.0,4.0,126.7,,# *,17,Check
2023-01-30,4.0,6.0,86.54,1.0,nan,5,
2023-01-26,3.0,9.0,32.32,1.0,rainy,8,
2023-01-25,2.0,1.0,54.31,1.0,nan,14,
2023-02-17,3.0,10.0,62.09,0.0,sunny,13,Check
2023-02-28,4.0,7.0,,0.0,nan,9,Check
2023-01-03,4.0,4.0,54.43,1.0,cloudy,9,
2023-03-23,4.0,3.0,124.44,0.0,cloudy,10,Check
2023-02-10,5.0,8.0,55.44,,cloudy,18,# *
2023-03-07,2.0,1.0,,0.0,sunny,5,Check
2023-03-12,5.0,5.0,143.98,1.0,nan,7,
2023-03-27,5.0,4.0,,0.0,nan,10,# *
2023-03-06,2.0,,106.86,,nan,15,
2023-01-02,4.0,8.0,,1.0,# *,9,
2023-03-21,3.0,4.0,57.64,0.0,# *,9,
2023-03-09,1.0,,115.86,,# *,5,Check
2023-01-19,4.0,3.0,84.47,1.0,cloudy,11,Check
2023-03-17,1.0,4.0,142.09,1.0,rainy,16,# *
2023-02-28,2.0,5.0,95.42,1.0,sunny,10,
2023-01-04,3.0,6.0,55.46,1.0,# *,19,Check
2023-01-16,5.0,8.0,38.19,,cloudy,13,Check
2023-02-20,2.0,2.0,65.45,,# *,6,
2023-03-30,1.0,1.0,125.1,0.0,sunny,5,
2023-02-01,3.0,10.0,67.27,0.0,nan,6,
2023-01-16,5.0,7.0,59.73,,rainy,17,
2023-03-04,1.0,7.0,64.58,,rainy,13,
2023-02-14,2.0,5.0,87.57,1.0,sunny,8,
2023-02-06,4.0,10.0,70.75,0.0,sunny,19,# *
2023-03-06,3.0,7.0,54.59,1.0,# *,15,# *
2023-03-07,2.0,9.0,122.94,,nan,10,Check
2023-02-27,5.0,2.0,86.74,1.0,rainy,8,
2023-01-13,2.0,10.0,57.36,0.0,nan,6,
2023-02-08,3.0,6.0,74.22,,rainy,6,# *
2023-03-24,2.0,2.0,76.16,,# *,19,
2023-01-31,3.0,3.0,,,rainy,18,Check
2023-02-23,2.0,10.0,90.36,1.0,# *,6,
2023-02-22,4.0,,84.66,0.0,# *,13,
2023-01-24,4.0,9.0,90.74,1.0,rainy,13,Check
2023-03-20,3.0,1.0,79.58,1.0,# *,7,# *
2023-03-03,4.0,8.0,66.89,0.0,nan,12,Check
2023-02-24,2.0,9.0,121.35,1.0,# *,5,
2023-01-11,5.0,5.0,82.39,,cloudy,6,Check
2023-02-13,5.0,2.0,80.86,1.0,nan,13,
2023-03-27,3.0,8.0,98.71,0.0,nan,19,
2023-01-17,2.0,10.0,64.39,1.0,cloudy,10,# *
2023-02-05,2.0,10.0,102.46,0.0,sunny,10,
2023-01-22,5.0,6.0,106.63,,# *,18,Check
2023-01-31,4.0,2.0,65.52,,sunny,6,
2023-03-19,1.0,4.0,156.72,0.0,sunny,19,
2023-02-14,2.0,6.0,44.28,0.0,cloudy,9,# *
2023-03-03,4.0,4.0,77.86,0.0,sunny,5,Check
2023-01-19,1.0,8.0,85.18,1.0,rainy,6,# *
2023-01-22,1.0,3.0,115.38,,cloudy,17,
2023-02-27,5.0,1.0,82.21,0.0,sunny,5,
2023-03-10,3.0,4.0,62.83,,# *,17,Check
2023-02-12,4.0,8.0,69.86,1.0,nan,16,# *
2023-03-01,4.0,10.0,,0.0,nan,8,Check
2023-02-28,2.0,8.0,91.67,1.0,# *,15,
2023-01-19,1.0,1.0,80.62,1.0,rainy,7,
2023-01-30,5.0,4.0,213.59,1.0,nan,5,
2023-02-03,1.0,2.0,80.05,1.0,cloudy,18,
2023-03-07,2.0,6.0,62.15,0.0,sunny,10,Check
2023-01-02,4.0,10.0,66.6,,nan,15,
2023-01-23,5.0,2.0,73.69,0.0,# *,19,
2023-02-17,5.0,10.0,87.68,0.0,rainy,14,Check
2023-03-19,3.0,2.0,97.89,,rainy,16,
2023-01-04,,7.0,31.55,0.0,nan,12,
2023-01-01,3.0,8.0,61.83,1.0,rainy,9,# *
2023-03-09,1.0,2.0,95.4,1.0,rainy,13,
2023-01-13,2.0,9.0,91.05,0.0,rainy,14,
2023-01-07,3.0,5.0,79.41,,# *,18,Check
2023-03-09,2.0,5.0,97.09,,sunny,9,Check
2023-03-03,2.0,4.0,125.28,,nan,19,Check
2023-03-04,5.0,4.0,111.2,1.0,cloudy,6,
2023-02-14,3.0,1.0,72.55,1.0,cloudy,16,Check
2023-01-12,3.0,6.0,61.29,1.0,rainy,11,
2023-01-03,1.0,9.0,60.47,1.0,nan,16,# *
2023-02-21,3.0,1.0,73.82,1.0,rainy,11,
2023-02-09,1.0,1.0,89.95,1.0,cloudy,11,
2023-03-14,5.0,8.0,61.11,1.0,cloudy,6,
2023-02-19,1.0,10.0,148.84,,rainy,5,# *
2023-03-19,5.0,2.0,113.78,0.0,rainy,15,Check
2023-02-04,5.0,1.0,80.32,1.0,# *,15,Check
2023-03-04,4.0,5.0,63.84,1.0,sunny,17,# *
2023-03-18,2.0,4.0,162.4,,nan,16,
2023-03-16,5.0,7.0,80.28,,cloudy,16,Check
2023-02-02,4.0,4.0,70.4,1.0,rainy,12,
2023-02-18,1.0,8.0,122.0,0.0,# *,12,# *
2023-01-22,3.0,5.0,91.58,,sunny,5,
2023-02-27,4.0,9.0,108.45,,nan,19,Check
2023-03-10,4.0,5.0,53.92,1.0,# *,12,
2023-02-04,2.0,8.0,101.36,1.0,sunny,8,
2023-03-19,3.0,5.0,121.44,0.0,rainy,16,Check
2023-02-02,2.0,5.0,78.89,1.0,nan,6,
2023-01-10,3.0,2.0,37.67,1.0,sunny,9,Check
2023-03-03,2.0,5.0,100.26,0.0,sunny,19,
2023-01-29,5.0,4.0,90.53,1.0,sunny,10,Check
2023-03-22,2.0,7.0,97.04,,# *,17,
2023-02-17,5.0,6.0,107.12,,# *,7,
2023-02-26,2.0,7.0,93.49,0.0,nan,15,# *
2023-03-04,5.0,3.0,81.7,0.0,sunny,10,
2023-01-05,4.0,6.0,64.71,,cloudy,17,
2023-03-24,4.0,4.0,76.38,1.0,nan,5,
2023-02-05,2.0,4.0,128.71,,# *,12,Check
2023-03-25,4.0,5.0,63.43,0.0,sunny,16,
2023-01-21,5.0,6.0,109.79,,nan,13,
2023-03-03,1.0,3.0,137.02,1.0,nan,9,# *
2023-01-27,5.0,10.0,179.08,,rainy,18,
2023-02-13,5.0,5.0,101.57,1.0,rainy,10,Check
2023-03-31,2.0,5.0,115.98,1.0,rainy,17,# *
2023-02-19,3.0,7.0,197.58,,sunny,12,# *
2023-01-17,2.0,9.0,93.36,,cloudy,10,Check
2023-03-11,1.0,2.0,125.84,,rainy,6,# *
2023-03-24,5.0,4.0,98.91,0.0,rainy,9,
2023-03-05,3.0,8.0,106.2,1.0,cloudy,12,
2023-03-29,3.0,1.0,103.05,,nan,17,
2023-01-11,1.0,7.0,37.92,0.0,cloudy,18,Check
2023-01-22,2.0,10.0,85.42,1.0,rainy,11,
2023-03-26,5.0,3.0,83.5,1.0,sunny,6,Check
2023-03-31,5.0,3.0,73.6,1.0,sunny,14,Check
2023-03-02,2.0,1.0,89.9,1.0,rainy,13,Check
2023-03-04,2.0,8.0,121.49,1.0,sunny,5,# *
2023-01-29,5.0,1.0,79.88,,sunny,7,Check
2023-03-06,2.0,4.0,,1.0,sunny,14,
2023-02-04,3.0,8.0,74.78,,cloudy,5,
2023-01-07,1.0,4.0,91.24,0.0,# *,16,# *
2023-01-20,5.0,2.0,55.72,1.0,nan,6,Check
2023-01-24,3.0,10.0,63.0,1.0,sunny,13,Check
2023-03-17,5.0,6.0,133.99,1.0,rainy,9,
2023-03-18,4.0,6.0,132.52,1.0,sunny,11,# *
2023-01-24,1.0,4.0,87.29,1.0,rainy,10,Check
2023-02-02,2.0,4.0,104.35,0.0,# *,14,
2023-02-07,5.0,1.0,66.59,1.0,rainy,14,
2023-01-04,5.0,4.0,48.02,,nan,5,
2023-03-30,4.0,1.0,60.91,,sunny,17,# *
2023-01-13,3.0,2.0,,1.0,nan,17,
2023-02-15,4.0,8.0,64.41,0.0,# *,7,Check
2023-03-24,1.0,6.0,127.12,0.0,rainy,9,
2023-03-15,5.0,3.0,70.31,0.0,cloudy,6,Check
2023-03-31,3.0,4.0,,,sunny,11,Check
2023-01-09,1.0,9.0,70.18,1.0,cloudy,19,
2023-01-10,1.0,5.0,87.09,1.0,cloudy,6,Check
2023-03-07,5.0,10.0,84.8,,nan,8,
2023-02-11,5.0,6.0,133.03,1.0,cloudy,11,
2023-01-21,5.0,5.0,99.64,,cloudy,11,
2023-02-24,3.0,9.0,52.17,,sunny,12,Check
2023-03-10,3.0,7.0,60.07,0.0,nan,13,
2023-03-14,3.0,8.0,83.15,,nan,7,Check
2023-02-08,5.0,10.0,68.06,1.0,cloudy,15,
2023-02-13,5.0,6.0,110.18,,# *,11,
2023-01-21,3.0,2.0,65.38,,nan,19,# *
2023-02-03,3.0,4.0,39.1,0.0,cloudy,7,
2023-02-04,3.0,,88.57,,# *,18,
2023-01-03,3.0,9.0,31.48,1.0,# *,12,
2023-02-09,5.0,7.0,62.32,0.0,rainy,16,
2023-03-29,2.0,9.0,151.83,,nan,19,# *
2023-03-25,2.0,2.0,108.69,,# *,8,
2023-02-18,4.0,9.0,136.52,,nan,11,
2023-01-26,4.0,1.0,47.9,,rainy,14,Check
2023-01-16,4.0,6.0,66.28,,# *,7,
2023-01-22,5.0,4.0,79.25,1.0,cloudy,13,
2023-01-04,2.0,5.0,63.15,0.0,cloudy,6,# *
2023-03-21,5.0,2.0,100.08,,rainy,19,# *
2023-02-17,3.0,8.0,81.83,0.0,rainy,5,# *
2023-02-03,2.0,4.0,91.33,,rainy,9,# *
2023-01-17,2.0,7.0,51.7,,rainy,15,Check
2023-01-09,3.0,1.0,45.15,,sunny,19,
2023-01-31,4.0,5.0,46.68,,# *,17,# *
2023-02-01,1.0,9.0,89.42,0.0,nan,10,Check
2023-02-04,1.0,8.0,101.19,1.0,cloudy,11,
2023-01-17,5.0,5.0,81.2,0.0,nan,5,# *
2023-03-15,2.0,1.0,79.67,0.0,rainy,19,
2023-02-07,5.0,7.0,57.63,0.0,sunny,8,Check
2023-03-01,1.0,8.0,97.47,,nan,14,
2023-02-24,1.0,9.0,97.26,0.0,cloudy,17,Check
2023-02-21,5.0,6.0,119.37,0.0,cloudy,14,Check
2023-03-22,4.0,6.0,110.64,1.0,rainy,12,
2023-02-17,2.0,4.0,115.46,0.0,# *,15,
2023-01-29,2.0,6.0,49.97,0.0,sunny,18,# *
2023-03-08,5.0,8.0,62.22,,rainy,5,Check
2023-02-25,4.0,4.0,84.5,1.0,# *,19,# *
2023-03-14,4.0,4.0,80.96,0.0,rainy,16,
2023-02-19,4.0,7.0,61.96,,nan,17,Check
2023-02-07,5.0,5.0,98.4,1.0,cloudy,16,
2023-02-22,5.0,1.0,70.38,0.0,sunny,16,
2023-01-27,5.0,2.0,72.72,,cloudy,8,Check
2023-02-15,5.0,9.0,82.91,1.0,rainy,9,# *
2023-03-07,3.0,9.0,51.24,1.0,nan,8,
2023-02-17,4.0,4.0,62.72,0.0,rainy,18,# *
2023-03-25,2.0,3.0,137.01,0.0,# *,6,
2023-01-24,5.0,2.0,64.84,,rainy,10,
2023-03-08,3.0,7.0,74.34,0.0,rainy,14,
2023-01-08,1.0,9.0,81.82,,nan,7,
2023-02-10,5.0,7.0,62.43,1.0,cloudy,17,# *
2023-03-26,,9.0,137.84,1.0,sunny,17,
2023-02-11,1.0,3.0,130.59,1.0,# *,6,Check
2023-03-21,1.0,9.0,110.2,1.0,sunny,6,
2023-03-01,5.0,6.0,114.57,,# *,8,
2023-01-21,1.0,3.0,121.03,0.0,rainy,9,Check
2023-01-04,3.0,8.0,57.27,0.0,nan,16,Check
2023-03-04,4.0,1.0,,1.0,# *,16,
2023-01-24,2.0,9.0,89.76,1.0,sunny,12,# *
2023-01-30,2.0,10.0,82.47,1.0,sunny,11,
